Id,Label,views,followers,importance,posts,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,modularity_class
1601887995,shahzadenajeran,16616,1057,1.884351,110,14,1,15,1,2977.483333,34
1059610330,proxyjt,96,1198,1.01704,3,0,1,1,1,0,45
1082253600,behshahrestan,37,103,1.03909,9,0,1,1,0.219187,0,189
1434994612,mesri_for_all_97,0,3090,1.021189,5,0,1,1,0.20015,0,139
1877048062,destruction_israel1,88444,1381,3.106801,262,4,8,12,0.249258,4658.289823,139
1345540796,akhbardolartala,0,22128,1.100371,26,1,2,3,1,2,229
1015928821,azandaryan,5054,2830,1.295853,26,1,1,2,0.191006,1597,139
1016912264,farhangi_e_kian,9766,4881,1.508907,46,1,3,4,0.200402,5997.240659,189
1252238656,gharbonlinee,27761,7207,1.854747,50,1,6,7,0.229817,634.31025,168
1003083643,iransiasat_ir,63802,8683,2.47385,111,7,12,19,0.231707,2956.044393,139
1239390343,emaminews,0,14534,1.161368,45,0,8,8,0.225611,0,206
1092136523,smile_mydear,16165,38160,1.789803,83,1,2,3,0.201032,0.346766,168
1002562901,maktubaaat,635759,17147,3.86314,137,42,3,45,0.206335,12112.583876,139
1143251160,twitter_bourse,2281161,67977,4.88323,184,65,7,72,0.216701,62959.898755,45
1758605429,tahlilgar_siasi,62145,21092,1.942426,11,1,0,1,0,0,139
1065783763,mola_nasradin,0,7215,1.017033,4,0,1,1,0.224835,0,206
1332744653,badnewso,213027,104611,3.412911,184,7,20,27,0.232959,5483.093474,189
1090463035,amirabadnews,0,848,1.021189,5,0,1,1,0.666667,0,168
1509250600,ikco_price,0,43042,1.012837,3,0,1,1,0.173474,0,168
1205772539,bursekade,2042,41592,1.16627,20,0,1,1,0.173512,0,189
1075737453,cilik,2396,1396,1.672939,239,5,23,28,0.251101,13777.139519,189
1492920782,nimaonline_ir,52224,24216,2.160141,60,0,2,2,0.209993,0,189
1493527715,soheil_salimii,8976,1373,1.535631,59,0,1,1,0.181684,0,45
1358017334,mizangorup,934511,285228,3.304234,29,2,1,3,0.6,1,34
1213461675,resanehresearch,64,1275,1.055996,13,0,1,1,0.201922,0,189
1045837050,diyarebarzok,84,1746,1.04912,11,0,1,1,0.666667,0,168
1002367076,ahrargil,9027,380,1.754104,135,0,10,10,0.220489,0,168
2123671366,rss1news,18,5,1.121449,32,0,2,2,0.199326,0,189
1002353100,meraatnews,5922,5312,1.569029,102,3,11,14,0.242075,1737.135497,168
1904265474,jahamarkazii,37,398,1.018665,4,0,1,1,1,0,41
1104086215,parisakmun,39,99,1.069992,17,0,1,1,0.187163,0,189
1118242953,aidaggy,0,1298,1.017033,4,0,1,1,1,0,37
1054177930,famildora,75347,3532,3.146697,326,0,28,28,0.261325,0,189
1263710424,mohammad_rezaei_channel,0,212,1.012837,3,0,1,1,0.211411,0,106
1669308345,natanzarmaghan,120,32,1.06238,14,0,1,1,0.175123,0,37
1488794664,miandoab_khabar,38919,5157,2.396188,162,4,20,24,0.253817,14412.400503,139
1179990919,yazdirib_ir,357,1445,1.130913,30,0,5,5,0.201667,0,37
1554564738,iranfarda1405,1394,132,1.563888,202,7,17,24,0.248834,6503.777638,34
1049016302,nationalism_irany,13253,5958,1.433734,12,1,1,2,1,0,42
1457290182,tahlil_dollarr,12416,21312,1.596148,52,0,2,2,0.181808,0,45
