Source,Target,Type,Id,Label,Weight,Candidate
1000335464,1007007698,Directed,608,,3,Pezeshkian
1000335464,1156829958,Directed,628,,3,Pezeshkian
1000335464,1277342544,Directed,632,,2,Pezeshkian
1000335464,1369092212,Directed,639,,2,Pezeshkian
1000340817,1005665139,Directed,652,,2,Pezeshkian
1000340817,1068763227,Directed,661,,3,Pezeshkian
1000340817,1142191532,Directed,662,,4,Pezeshkian
1000340817,1191373712,Directed,664,,9,Pezeshkian
1000340817,1310408660,Directed,668,,4,Pezeshkian
1000341206,1119835032,Directed,675,,2,Pezeshkian
1000342349,1001976122,Directed,682,,3,Pezeshkian
1000342349,1004135749,Directed,686,,3,Pezeshkian
1000342349,1004576149,Directed,687,,2,Pezeshkian
1000342349,1005280116,Directed,689,,3,Pezeshkian
1000342349,1005665139,Directed,690,,4,Pezeshkian
1000342349,1006212930,Directed,693,,2,Pezeshkian
1000342349,1006227643,Directed,694,,3,Pezeshkian
1000342349,1006939659,Directed,696,,3,Pezeshkian
1000342349,1068763227,Directed,702,,2,Pezeshkian
1000342349,1156829958,Directed,713,,6,Pezeshkian
1000402029,1058667053,Directed,735,,17,Pezeshkian
1000406662,1007007698,Directed,736,,2,Pezeshkian
1000413715,1002843824,Directed,740,,3,Pezeshkian
1000413715,1005816243,Directed,742,,2,Pezeshkian
1000413715,1005866359,Directed,743,,2,Pezeshkian
1000413715,1048311732,Directed,751,,2,Pezeshkian
1000413715,1142191532,Directed,765,,2,Pezeshkian
1000413715,1368575513,Directed,773,,2,Pezeshkian
1000424689,1005280116,Directed,781,,2,Pezeshkian
1000424689,1258612234,Directed,782,,5,Pezeshkian
1000426142,1000737610,Directed,783,,22,Pezeshkian
1000427096,1005280116,Directed,785,,5,Pezeshkian
1000440851,1124960057,Directed,790,,3,Pezeshkian
1000524464,1058667053,Directed,804,,4,Pezeshkian
1000524464,1324213724,Directed,806,,2,Pezeshkian
1000535320,1001976122,Directed,818,,18,Pezeshkian
1000535320,1002765601,Directed,821,,3,Pezeshkian
1000535320,1004576149,Directed,823,,2,Pezeshkian
1000535320,1005665139,Directed,824,,2,Pezeshkian
1000535320,1006212930,Directed,826,,7,Pezeshkian
1000535320,1006939659,Directed,827,,7,Pezeshkian
1000535320,1007007698,Directed,828,,3,Pezeshkian
1000535320,1007883087,Directed,829,,2,Pezeshkian
1000535320,1010380688,Directed,831,,2,Pezeshkian
1000535320,1031894080,Directed,832,,2,Pezeshkian
1000535320,1066357067,Directed,834,,4,Pezeshkian
1000535320,1068487996,Directed,835,,2,Pezeshkian
1000535320,1107871117,Directed,838,,2,Pezeshkian
1000535320,1142191532,Directed,844,,4,Pezeshkian
1000535320,1189566498,Directed,850,,3,Pezeshkian
1000543467,1068763227,Directed,864,,2,Pezeshkian
1000543467,1393189914,Directed,870,,4,Pezeshkian
1000547128,1005280116,Directed,874,,2,Pezeshkian
1000547128,1027676885,Directed,875,,2,Pezeshkian
1000598506,1462720273,Directed,882,,3,Pezeshkian
1000598833,1004975142,Directed,884,,2,Pezeshkian
1000598833,1419577045,Directed,888,,2,Pezeshkian
1000603703,1067616317,Directed,891,,2,Pezeshkian
1000603703,1310408660,Directed,896,,2,Pezeshkian
1000603703,1324213724,Directed,897,,3,Pezeshkian
1000619608,1001976122,Directed,904,,2,Pezeshkian
1000619608,1006939659,Directed,907,,2,Pezeshkian
1000619608,1119835032,Directed,912,,2,Pezeshkian
1000631584,1005280116,Directed,926,,3,Pezeshkian
1000631584,1027676885,Directed,927,,3,Pezeshkian
1000643229,1326304859,Directed,935,,2,Pezeshkian
1000665140,1001976122,Directed,938,,2,Pezeshkian
1000665140,1005280116,Directed,942,,6,Pezeshkian
1000665140,1005866359,Directed,944,,5,Pezeshkian
1000665140,1006227643,Directed,945,,2,Pezeshkian
1000665140,1027676885,Directed,951,,14,Pezeshkian
1000665140,1048440225,Directed,955,,2,Pezeshkian
1000665140,1056093184,Directed,957,,2,Pezeshkian
1000665140,1069291200,Directed,961,,5,Pezeshkian
1000665140,1106958042,Directed,968,,2,Pezeshkian
1000665140,1118521939,Directed,969,,3,Pezeshkian
1000665140,1142191532,Directed,970,,2,Pezeshkian
1000665140,1261623772,Directed,974,,2,Pezeshkian
1000665140,1308311510,Directed,978,,2,Pezeshkian
1000665140,1454361599,Directed,983,,3,Pezeshkian
1000665140,1803583427,Directed,991,,2,Pezeshkian
1000687354,1156829958,Directed,1014,,4,Pezeshkian
1000693898,1001976122,Directed,1025,,3,Pezeshkian
1000693898,1005665139,Directed,1029,,3,Pezeshkian
1000693898,1007794402,Directed,1032,,2,Pezeshkian
1000704534,1119835032,Directed,1048,,2,Pezeshkian
1000713718,1012528737,Directed,1054,,2,Pezeshkian
1000715423,1124960057,Directed,1087,,2,Pezeshkian
1000715423,1142191532,Directed,1089,,2,Pezeshkian
1000715423,1205355308,Directed,1092,,2,Pezeshkian
1000715423,2234338892,Directed,1103,,3,Pezeshkian
1000717318,1779082644,Directed,1112,,2,Pezeshkian
1000733242,1005280116,Directed,1114,,4,Pezeshkian
1000733242,1142191532,Directed,1121,,3,Pezeshkian
1000737610,1005280116,Directed,1130,,3,Pezeshkian
1000737610,1162694867,Directed,1141,,2,Pezeshkian
1000737610,1324213724,Directed,1143,,2,Pezeshkian
1000755616,1066357067,Directed,1159,,2,Pezeshkian
1000755616,1083639254,Directed,1160,,2,Pezeshkian
1000755616,1142191532,Directed,1162,,2,Pezeshkian
1000759648,1058304610,Directed,1177,,4,Pezeshkian
1000759648,1069291200,Directed,1179,,2,Pezeshkian
1000759648,1189566498,Directed,1192,,5,Pezeshkian
1000775418,1002739327,Directed,1209,,2,Pezeshkian
1000775418,1070161307,Directed,1215,,2,Pezeshkian
1000775418,1326304859,Directed,1223,,9,Pezeshkian
1000778959,1066357067,Directed,1232,,2,Pezeshkian
1000781549,1004576149,Directed,1248,,4,Pezeshkian
1000781549,1006212930,Directed,1252,,5,Pezeshkian
1000781549,1048311732,Directed,1262,,4,Pezeshkian
1000781549,1065054953,Directed,1264,,2,Pezeshkian
1000785717,1007884158,Directed,1290,,2,Pezeshkian
1000785717,1124960057,Directed,1293,,2,Pezeshkian
1000814187,1005280116,Directed,1312,,5,Pezeshkian
1000814187,1005665139,Directed,1313,,2,Pezeshkian
1000814187,1069291200,Directed,1321,,4,Pezeshkian
