Id,Label,views,followers,importance,posts,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,modularity_class
1376970671,exchangebehnam,112,1678,1.157862,42,0,5,5,0.233738,0,6434
1087518654,vaghyre,766,282,1.124841,23,0,2,2,0.20135,0,4345
1374874117,alain_persian,2551,1917,1.185673,20,0,1,1,0.184048,0,9848
1880490458,zapata_dr,52067,53827,1.991133,29,0,1,1,0.205796,0,6434
1302672605,kordmozik12345,0,26973,1.017033,4,0,1,1,1,0,3455
1867468275,mamlekate_org,3320,22423,1.162089,8,0,1,1,1,0,1638
1649601160,majdjbaily,25697,12436,1.623002,11,1,0,1,0,0,7052
1133835109,qarakhilnewlook,323,914,1.05577,10,0,1,1,0.180867,0,11292
1179400017,havarniyos,398,1511,1.093777,19,0,1,1,0.180867,0,11292
1116304402,kotah_khabare,96895,72,2.4861,68,0,8,8,0.256229,0,2472
1094663429,antisofyani,3849,1402,1.279044,32,0,2,2,0.179306,0,13017
1040505298,asre_eghtesad,655,9601,1.387452,124,0,11,11,0.238887,0,2472
1218653412,land31,3686,266,1.150863,3,1,0,1,0,0,6434
1417713980,shahrezendegi_shahidan,39233,117161,2.479803,192,2,21,23,0.263484,5648.716591,6434
1451768789,ghyamzhina,5764,4818,1.401583,48,0,3,3,0.21498,0,1638
1035203906,youtwitte,4289,25763,1.225108,15,0,3,3,0.210629,0,4345
2056375383,artesheeserri,13,2472,1.07979,20,0,1,1,0.180867,0,11292
1251537535,aftablowshan,0,1861,1.041393,10,0,1,1,0.16758,0,2472
1006996498,piransharmedia,13716,30304,1.483919,20,0,1,1,0.207876,0,6434
1004854380,badroodkhabar,115132,13066,2.724173,99,3,5,8,0.240913,2532.790712,4345
1676674922,user_1676674922,153980,0,2.444694,27,3,2,5,0.194708,235.677839,13017
1492655868,khabarekotah_varzeshi,9812,13088,1.474245,37,0,5,5,0.180405,0,3455
1051705437,ir_mahdeshiran,33,185,1.038911,9,0,1,1,0.181638,0,4345
1122266071,inurfun,15900,4221,1.905559,123,2,12,14,0.228298,619.324317,1638
1134732515,ansar_network,33655,17187,2.385995,185,9,24,33,0.272333,69100.079264,2472
1178472795,tarikh_irankohan,15948,43150,1.515753,18,0,2,2,0.188071,0,6434
1290406137,panaah_ir,55983,4625,2.09651,42,2,0,2,0,0,7096
1484008440,serfan_khabar,0,14246,1.238046,73,0,15,15,0.266711,0,748
1007062257,azaad_news,15339,2861,1.663057,53,2,4,6,0.231786,2386,4345
1471297553,mozaffariehonline,1005,35650,1.461476,153,0,17,17,0.254747,0,2472
1184439011,twittimes,57144,4964,2.184917,57,5,3,8,0.217082,73.423317,6434
1315553764,assaluyehonline,11277,2767,1.76667,114,1,13,14,0.256891,17.460392,2472
1215999077,ibishiri,19,51,1.038282,9,0,1,1,1,0,7119
1340290722,ya_faatemeh,168,257,1.079638,18,0,1,1,0.218059,0,13017
1106806295,hamedan_today,4211,11429,1.218215,14,0,1,1,1,0,4345
1392859150,gaytoll,63,151,1.023975,5,0,1,1,0.17011,0,3455
1066147897,shaftjornal,4132,882,1.583344,138,0,19,19,0.256487,0,6434
1397987861,chabaharankhabar,232,1841,1.075061,16,0,1,1,0.190029,0,2472
1067645095,aygarnews,7244,7182,1.797229,184,3,25,28,0.267205,11636.787217,6434
1009129200,imakhonline,0,1803,1.012837,3,0,1,1,0.180867,0,11292
1317190720,asetan_khorshid,444,34,1.076845,14,0,1,1,0.190089,0,13017
1460314239,sahamboniadi,268,150,1.065174,13,0,1,1,0.192886,0,6434
1089300473,westazborna,0,95,1.053078,13,0,1,1,0.188438,0,11017
1049450301,asrghanoon,26891,15386,2.055414,105,0,8,8,0.212014,0,2472
1173618731,avaybilavar,0,2623,1.029384,7,0,2,2,0.194363,0,9848
1064973232,khabartelcom,14037,121236,1.514701,25,1,42,43,0.287817,1193,6434
1536658065,bisabat,2957,586,1.162926,11,0,1,1,0.191315,0,13017
1329627511,captionkade_org,0,14744,1.012837,3,0,1,1,1,0,13905
1054982728,tehran_tel,1573,55368,1.135958,17,0,2,2,1,0,4345
1951511743,mynewssource,7,8,1.017342,4,1,0,1,0,0,13017
1283840898,city_bad,0,51481,1.021189,5,0,2,2,1,0,3455
1194460979,baztabdelfan,573,820,1.090216,16,0,1,1,1,0,4345
1607260906,ardeshir_roostami,0,3805,1.029384,7,0,1,1,0.666667,0,3260
1140350715,loulemancity,261,922,1.060958,12,0,2,2,0.454545,0,4345
1125161850,sedaye_delfan,55197,19293,2.259643,76,2,7,9,0.200067,10975.202777,2472
1215655747,dollar_tala_price,47,846,1.189939,54,0,8,8,0.240547,0,6434
1057226407,faraagir_e,13193,10083,1.585682,45,0,2,2,1,0,7156
1466003243,fundbours,2007,1517,1.160983,19,0,1,1,1,0,7157
1929233053,johnymeme,2607,5983,1.146169,10,0,1,1,1,0,4345
1407616409,iran_weathrr,0,224951,1.021189,5,0,1,1,0.666667,0,4345
1867211391,delneyesh,35,744,1.005845,1,1,0,1,0,0,2674
1346187186,dollarsst,739,3650,1.069549,9,0,2,2,0.75,0,4345
1005961407,bandargaz_patogh,956,2904,1.074401,8,0,1,1,0.184048,0,9848
1842410905,mobarezan_net,630,1107,1.069024,10,0,1,1,0.555556,0,1638
1172505862,hamrah_resaneh,288,647,1.066064,13,0,1,1,0.666667,0,4345
1007894541,nedaye_siyasat,21474,5465,1.541967,7,1,0,1,0,0,6434
1617536939,babol_in_5,1748,633,1.150796,19,0,1,1,0.171527,0,2472
1384498371,tabnakmalayer,680,630,1.135341,27,0,3,3,0.211675,0,2472
1180265169,borstecnik,4090,2115,1.537767,118,0,11,11,0.248031,0,6434
1111755210,alborz_vije,7410,8569,1.306658,13,1,0,1,0,0,7185
1059191282,akhbarghazvin,657,5849,1.112708,21,0,2,2,0.205512,0,4345
1888686412,user_1888686412,6404,0,1.306736,19,0,1,1,0.211412,0,2472
1004501856,farhangiannews1,17771,22719,1.598359,28,0,1,1,0.210554,0,6434
1029162968,salambakharz,46660,17878,2.288642,102,1,11,12,0.218859,23.147997,2472
1346732056,squad_iran,2240328,75072,6.072845,548,93,22,115,0.261805,68911.554499,13017
1235655276,khaamenei313,66,2771,1.133563,35,0,1,1,0.181501,0,11292
